account position pnl
noise-5 -46 132.32
noise-5 1 113.46
noise-9 474 3369.21
noise-10 -60 1800.94
noise-9 486 3369.21
noise-6 -76 -267.57
noise-1 80 1328.00
noise-9 550 3369.21
noise-9 582 3369.21
noise-3 -197 -1250.84
noise-2 64 24.29
mm 147 -249.45
mm 181 -249.45
mm 134 -175.24
mm 87 -120.30
mm 40 -84.63
noise-4 -469 -1482.20
noise-10 -28 2073.94
noise-9 615 1466.07
mm 7 -0.23
noise-9 648 1724.37
mm -26 2.71
mm -59 -8.21
noise-9 681 1996.53
noise-1 149 1336.00
noise-5 -68 118.94
noise-8 -164 -834.07
noise-6 -88 -242.49
noise-2 16 3.17
noise-8 -116 -834.07
noise-8 -88 -834.07
noise-7 52 -360.43
mm -31 23.06
noise-3 -225 -1969.89
mm 10 23.06
mm 22 23.06
noise-1 108 880.06
noise-10 -40 2029.42
mm -9 32.52
mm -40 28.65
mm -71 11.45
noise-7 83 -474.83
noise-7 114 -439.14
noise-7 145 -390.12
noise-2 -24 43.81
noise-9 721 5156.37
noise-6 -96 -466.01
noise-9 729 5156.37
noise-9 749 5156.37
noise-3 -245 -3133.14
noise-4 -493 -4652.64
noise-9 773 5156.37
noise-9 775 5156.37
noise-8 -90 -1057.59
noise-7 201 -290.07
noise-5 -124 192.38
mm -93 286.22
noise-8 -68 -360.09
mm -115 248.09
mm -137 200.94
noise-8 -46 -387.97
noise-8 -24 -406.83
noise-4 -513 -4430.79
noise-8 -4 -562.35
noise-8 12 -562.35
noise-8 56 -562.35
noise-3 -261 -3022.89
noise-5 -168 -147.38
noise-6 -104 -422.81
noise-8 64 -562.35
noise-8 72 -562.35
noise-10 -48 1840.62
noise-9 807 3800.12
noise-1 76 1249.42
noise-7 233 -1033.77
noise-2 -56 209.17
noise-4 -529 -2101.77
noise-7 249 -591.07
mm -152 -642.98
mm -167 -711.38
mm -182 -786.53
noise-8 20 -509.07
noise-10 -33 1855.98
noise-10 -18 1841.13
noise-10 -3 1833.03
noise-10 49 1832.55
noise-3 -277 -3216.03
noise-10 65 1832.55
noise-2 -80 -192.91
noise-10 89 1832.55
noise-6 -108 -499.77
noise-1 48 1404.46
noise-5 -204 -271.70
noise-9 644 1976.30
mm -19 -33.05
noise-10 93 1832.55
noise-10 121 1832.55
noise-10 157 1832.55
noise-2 -100 301.49
noise-9 664 765.58
noise-9 692 984.70
noise-8 69 -545.47
noise-7 188 544.37
mm -7 -33.05
mm -3 -33.05
mm 9 -19.82
mm -19 23.74
mm -47 15.57
mm -75 -4.64
noise-3 -289 -2024.93
noise-10 108 1546.81
noise-6 -112 -35.37
noise-1 76 1218.70
noise-1 104 1251.38
noise-1 132 1296.10
noise-1 193 1598.38
noise-5 -232 921.70
noise-2 -116 -375.51
noise-4 -541 -287.30
noise-4 -553 -5015.64
noise-8 20 -379.18
noise-7 209 -395.63
noise-7 230 -307.85
noise-7 251 -211.25
noise-7 263 1021.16
noise-7 287 1021.16
noise-7 361 1021.16
mm -96 198.61
mm -117 158.29
mm -138 109.15
mm -153 -630.53
noise-3 -297 -3045.10
noise-10 174 1660.21
noise-10 182 1660.21
noise-6 -116 -583.05
noise-1 208 1829.98
noise-1 224 1852.86
noise-1 228 1852.86
noise-1 277 1852.86
noise-5 -256 -442.46
noise-9 618 5053.66
noise-9 552 4559.26
noise-2 -128 -405.67
noise-4 -561 -5469.10
noise-9 440 5453.50
noise-8 33 -505.38
noise-8 46 -491.52
noise-8 59 -472.20
noise-7 276 1320.79
mm -166 318.07
mm -179 248.35
mm -192 173.17
noise-3 -305 -3529.21
noise-6 -120 -614.37
noise-1 389 1924.88
noise-1 397 1924.88
noise-1 409 1924.88
noise-1 429 1924.88
noise-5 -276 -652.38
